LK;1;5;1;1;5;5;
PK;1;0.14666666666666664;0.14666666666666664;0.28;0.14666666666666664;0.28;
LK;2;5;1;1;1;5;
PK;2;0.11999999999999998;0.11999999999999998;0.3600000000000001;0.2;0.20000000000000004;
LK;3;1;1;5;1;5;
PK;3;0.16571428571428568;0.1657142857142857;0.28;0.1657142857142857;0.22285714285714286;
LK;4;5;5;1;5;5;
PK;4;0.16444444444444442;0.16444444444444445;0.25333333333333335;0.20888888888888887;0.20888888888888887;
LK;5;1;5;5;1;5;
PK;5;0.1927272727272727;0.15636363636363637;0.22909090909090912;0.19272727272727275;0.2290909090909091;
LK;6;1;5;1;5;5;
PK;6;0.21230769230769225;0.15076923076923077;0.2123076923076923;0.18153846153846154;0.24307692307692302;
LK;7;5;5;1;5;5;
PK;7;0.2053333333333333;0.15200000000000002;0.20533333333333337;0.17866666666666667;0.25866666666666654;
LK;8;1;1;5;1;1;
PK;8;0.1858823529411765;0.13882352941176476;0.23294117647058823;0.16235294117647064;0.2799999999999999;
LK;9;1;1;1;5;5;
PK;9;0.1957894736842105;0.15368421052631584;0.21684210526315786;0.1747368421052632;0.25894736842105254;
LK;10;5;5;1;5;5;
PK;10;0.19238095238095237;0.15428571428571436;0.2114285714285714;0.17333333333333334;0.2685714285714285;
LK;11;1;5;5;5;5;
PK;11;0.20695652173913043;0.15478260869565225;0.20695652173913043;0.17217391304347826;0.25913043478260867;
LK;12;1;1;5;5;1;
PK;12;0.19679999999999997;0.16480000000000003;0.19679999999999997;0.16479999999999997;0.27679999999999993;
LK;13;5;5;5;1;5;
PK;13;0.194074074074074;0.16444444444444445;0.194074074074074;0.17925925925925923;0.2681481481481481;
LK;14;5;1;1;5;5;
PK;14;0.20275862068965517;0.16137931034482764;0.1889655172413793;0.17517241379310344;0.2717241379310345;
LK;15;1;5;1;1;5;
PK;15;0.19483870967741934;0.16903225806451616;0.19483870967741934;0.1690322580645161;0.272258064516129;
LK;16;5;1;5;1;1;
PK;16;0.2;0.16363636363636366;0.18787878787878787;0.17575757575757575;0.27272727272727276;
LK;17;1;5;5;5;5;
PK;17;0.1977142857142857;0.16342857142857145;0.18628571428571428;0.17485714285714285;0.27771428571428575;
LK;18;5;5;5;1;5;
PK;18;0.20648648648648646;0.16324324324324324;0.1848648648648648;0.17405405405405402;0.27135135135135136;
LK;19;1;5;1;5;1;
PK;19;0.21025641025641026;0.15897435897435896;0.1897435897435897;0.1692307692307692;0.27179487179487183;
LK;20;1;1;1;1;5;
PK;20;0.2019512195121951;0.15317073170731707;0.21170731707317073;0.16292682926829266;0.2702439024390244;
LK;21;1;1;1;5;1;
PK;21;0.20372093023255813;0.1572093023255814;0.2130232558139535;0.1572093023255814;0.26883720930232563;
LK;22;1;1;1;1;5;
PK;22;0.20533333333333334;0.1608888888888889;0.22311111111111112;0.15199999999999997;0.2586666666666667;
LK;23;5;5;5;5;5;
PK;23;0.20510638297872338;0.16255319148936168;0.2221276595744681;0.15404255319148932;0.2561702127659575;
LK;24;5;5;5;5;5;
